N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2,mol
2mer-0+4,-5.92431937,2,-5.92431937,-5.92431937,0.009101854,11.095,2.534,2.534,,"Molecule(name='C28H20', formula='C28H20', hash='f6609f9')"
2mer-0+2,-8.95912422,4,-17.91824845,-23.84256782,0.008849046,9.79,2.558,2.558,,"Molecule(name='C28H20', formula='C28H20', hash='393e892')"
2mer-0+5,-32.80527563,4,-65.61055126,-89.45311908,0.007499165,5.164,2.704,2.704,,"Molecule(name='C28H20', formula='C28H20', hash='1f95e15')"
2mer-0+3,-23.86696266,2,-23.86696266,-113.32008174,0.007162574,5.99,2.745,2.745,,"Molecule(name='C28H20', formula='C28H20', hash='3bd2722')"
2mer-0+1,-0.77956063,2,-0.77956063,-114.09964237,0.003201075,12.609,3.591,3.591,,"Molecule(name='C28H20', formula='C28H20', hash='b1879e1')"
2mer-0+24,-0.56512315,2,-0.56512315,-114.66476552,0.001160433,11.041,5.036,5.036,,"Molecule(name='C28H20', formula='C28H20', hash='f60bc2e')"
2mer-0+14,-0.99500952,2,-0.99500952,-115.65977504,0.000998632,10.329,5.294,5.294,,"Molecule(name='C28H20', formula='C28H20', hash='b237197')"
2mer-0+10,-2.38613091,2,-2.38613091,-118.04590594,0.0009614227,9.275,5.362,5.362,,"Molecule(name='C28H20', formula='C28H20', hash='39067e6')"
2mer-0+20,-0.51513464,2,-0.51513464,-118.56104058,0.0008011706,12.609,5.698,5.698,,"Molecule(name='C28H20', formula='C28H20', hash='7090d03')"
2mer-0+12,-0.81223228,4,-1.62446457,-120.18550515,0.0007983866,9.922,5.704,5.704,,"Molecule(name='C28H20', formula='C28H20', hash='187a945')"
2mer-0+11,-0.26147122,4,-0.52294244,-120.70844759,0.0006287742,14.273,6.177,6.177,,"Molecule(name='C28H20', formula='C28H20', hash='5ec6d19')"
2mer-0+6,-0.18130271,4,-0.36260542,-121.07105301,0.0006096212,12.946,6.241,6.241,,"Molecule(name='C28H20', formula='C28H20', hash='a6cd864')"
2mer-0+22,-1.4190645,2,-1.4190645,-122.49011751,0.0004842719,8.414,6.739,6.739,,"Molecule(name='C28H20', formula='C28H20', hash='b3539a4')"
2mer-0+21,-0.28032069,2,-0.28032069,-122.7704382,0.0003006457,11.981,7.899,7.899,,"Molecule(name='C28H20', formula='C28H20', hash='5e26a81')"
2mer-0+15,-0.37327024,2,-0.37327024,-123.14370845,0.0002966465,11.041,7.935,7.935,,"Molecule(name='C28H20', formula='C28H20', hash='18977bc')"
2mer-0+26,-0.15798419,4,-0.31596838,-123.45967682,0.000244466,11.383,8.463,8.463,,"Molecule(name='C28H20', formula='C28H20', hash='aa39312')"
2mer-0+31,-0.01756511,2,-0.01756511,-123.47724193,0.0002200408,14.64,8.765,8.765,,"Molecule(name='C28H20', formula='C28H20', hash='a602b30')"
