,AP2-SAPT0_adz error,AP3-SAPT0_adz error,AP2-SAPT0_adz_tl error,AP3-SAPT0_adz_tl error,AP2-SAPT2p3CCDDMP2_atz error,AP3-SAPT2p3CCDDMP2_atz error,AP2-SAPT2p3CCDDMP2_atz_tl error,AP3-SAPT2p3CCDDMP2_atz_tl error
14-cyclohexanedione,-17.903655809007773,-8.593882017577016,-9.553612227357675,1.604332812827252,-13.872487804906427,1.870055154393114,-14.210527031544117,-0.2019402138547406
acetic_acid,-11.926594863740306,-14.76391475029547,3.5748616690837736,-5.786029291443995,2.9321423525299792,-1.8778091220312376,3.125683247085149,-2.474425419630009
ammonia,10.129591135493467,-0.842364393530346,14.988992493079039,6.426667147374751,9.27466854886628,5.732070283311927,8.949940395339961,5.550702649884919
benzene,-9.327911403112843,-9.83126353640963,0.2483452686026908,4.494037591483419,0.5931922365489584,6.840428084518088,-0.8077992017041211,6.103800394163393
cyanamide,24.43354628459791,7.040663768936554,35.53051916010336,14.134991750842907,33.08788375288437,11.678447906810291,31.75461868232979,8.641765237342412
cytosine,-14.164023888318184,-19.874789945683972,8.494608947596276,-4.835560500311146,3.6683851505871417,3.713193787821382,-1.8564824883891902,0.35066974701493336
ethyl_carbamate,-11.171277375908772,-8.117744991802653,1.5776005069547523,-5.747420976591499,-0.01935833010632848,-5.302557939206508,0.7927514610987032,-6.4052158287190935
formamide,-13.370974985136357,1.9153147841714286,0.9069549306472737,3.597666473219334,-2.9256433923089844,9.819241146940897,-2.6443960169003162,7.0565549645755965
hexamine,-16.45244225284769,-51.341426192756245,8.795026999429481,-22.949083693500157,16.962879659700818,-16.32430214650232,18.384571136380217,-9.05312565455634
ice,-7.679892662254105,-27.908532325283964,0.708368600398174,-22.084226624285527,2.0689473719390215,-23.407399650065862,-1.7443131504233307,-25.49334959939121
imidazole,-24.82263839875543,-9.708080062743093,-5.72538845499588,4.3008590036044865,-5.273839885954871,6.402104907984096,-5.453292594473027,4.211091333979155
oxalic_acid_alpha,-21.782903634153897,-26.221527587971096,-57.16270457024537,-22.39842070103431,-97.76696253648696,-7.426144912435319,-67.78342075120487,-11.811902414661134
oxalic_acid_beta,-21.09911296749263,-20.814893685957486,-49.4080507042444,-13.893991020539858,-82.8104681866449,-0.620550181128948,-55.22555065233874,-1.9617031750964884
pyrazine,-18.50855783420718,-18.411421650002268,-6.787293185285847,-4.272944856016196,-9.748500221252556,-3.4209968769445567,-10.543515731041893,-5.006731686824708
pyrazole,-19.319082732680698,-5.290254432636701,-3.7587205837692466,1.496315739097028,-4.756636423476252,3.4616554402164965,-9.852695079295515,0.7802786563177619
succinic_acid,-28.160895602160736,-3.225013680546624,1.0093133690831166,1.2100145835143508,2.6788883414915006,6.59265683040212,-1.2994028421387611,5.095053998236722
triazine,-20.756727614804163,-6.06967132068992,-12.094420776315616,0.14023993614063812,-10.174464574831944,4.588602017167055,-13.477571913544708,4.873455616697704
trioxane,-15.331380214632283,2.8206915430700903,-9.683640581598318,9.643838748965372,-8.811207198967956,5.530635910375011,-4.679509129565012,8.1326082839905
uracil,-24.853878899554957,-18.783489759535627,-2.5257552069207065,-1.2850030598741,5.379794875732486,6.996173356329081,0.431046816314435,6.017278144449477
urea,-32.510884893009475,-21.293302135464657,-8.066855808506759,-14.782398855048157,-11.380181894076998,-10.162137797408676,-0.1428087713197499,-9.662728198043013
CO2,-95.9019067166326,-15.576847647073084,-98.85041105391569,-26.85257974608159,-95.7288690503912,-27.912480730971307,-100.56661870638975,-34.13509511773543
