,AP2-SAPT0_adz error,AP3-SAPT0_adz error,AP2-SAPT0_adz_tl error,AP3-SAPT0_adz_tl error,AP2-SAPT2p3CCDDMP2_atz error,AP3-SAPT2p3CCDDMP2_atz error,AP2-SAPT2p3CCDDMP2_atz_tl error,AP3-SAPT2p3CCDDMP2_atz_tl error
14-cyclohexanedione,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acetic_acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benzene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyanamide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cytosine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethyl_carbamate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formamide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hexamine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imidazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxalic_acid_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxalic_acid_beta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pyrazine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pyrazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
succinic_acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triazine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trioxane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uracil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
