,AP2-SAPT0_adz error,AP3-SAPT0_adz error,AP2-SAPT0_adz_tl error,AP3-SAPT0_adz_tl error,AP2-SAPT2p3CCDDMP2_atz error,AP3-SAPT2p3CCDDMP2_atz error,AP2-SAPT2p3CCDDMP2_atz_tl error,AP3-SAPT2p3CCDDMP2_atz_tl error
14-cyclohexanedione,-17.903655863560928,-10.288660597296186,-11.57215610176813,55.07695298228414,-13.872487797113124,0.17637109080142466,-14.2105270237508,1.517719518693056
acetic_acid,-11.926618835953576,-13.70107284122659,2.848169214747557,-93.28625889200492,2.932118411489938,-5.03518885593266,3.125659274871879,-112.42096763905366
ammonia,10.129591112113545,-0.43213773538608535,11.939110618007362,-70.16405044559896,9.274668502106437,4.0525600773896855,8.949940395339961,-26.8474947138017
benzene,-9.327911652498663,-7.871806428154194,0.5687957676863107,-35.220978292132706,0.593192111856041,7.488593272251805,-0.8077992017041211,-35.63591287178823
cyanamide,24.43354628459791,4.781778891327761,35.88610829278717,-108.86139774201779,33.08788375288437,9.769096081253295,31.75461868232979,-62.021913457913186
cytosine,-14.164087731091627,-22.637702051119163,6.831502008301129,-204.84452590220715,3.668321307813727,-0.4621154349341623,-1.8565463311626331,-232.22685835519158
ethyl_carbamate,-11.171277375908772,-8.425922118825355,1.7201111875478148,-46.745308164235865,-0.01935833010632848,-7.246573971895629,0.7927514610987032,-91.99905800101655
formamide,-13.370974943247333,-1.0601714665225899,2.4253551809502767,-121.58307024252156,-2.925643559317109,3.3563709786588873,-2.644396140071109,-95.58810794731772
hexamine,-16.45244225284769,-37.84971974915889,12.130334018141639,-185.92957298828534,16.962879659700818,-51.12420687934636,18.384571136380217,-260.101140028278
ice,-7.6798926204868465,-22.485057569294064,-0.43286602547126307,-105.12495732880765,2.068947088640126,-21.96147113841471,-1.744313143314976,-126.96729930031398
imidazole,-24.82263434428731,-11.619935133560062,-3.792350119914488,-123.03025747867056,-5.273835825641754,4.6286488711135405,-5.453288635472916,-116.11083920753944
oxalic_acid_alpha,-21.782903634153897,-27.536043396869545,-93.9523028226741,-0.6066904614722262,-97.76696253648696,-18.24235563268769,-67.78342075120487,-105.50982998750915
oxalic_acid_beta,-21.09911296749263,-12.356557326595038,-84.14931088169507,5.267258725332525,-82.81046918418824,-6.709321304872361,-55.22555065233874,-147.10540097391473
pyrazine,-18.508554031073217,-19.927778543503877,-5.884532447566386,-58.566587634314956,-9.748495919346908,-4.586103121038704,-10.543512021427631,-45.99845225847787
pyrazole,-19.31908267033424,-10.770006572206555,-5.212963914373233,-115.78969885111145,-4.756636386458041,5.535462920222486,-9.85269479873645,-109.2549419234645
succinic_acid,-28.160895602160736,-3.6360268653317576,0.8790891251989024,-54.1047427584607,2.6788883414915006,4.039764723000303,-1.2994028421387611,-143.70469826203967
triazine,-20.756727614804163,-4.396199338695261,-12.219497589524764,-72.44404562677715,-10.174464574831944,5.438515624601742,-13.477571913544708,-66.04064985546424
trioxane,-15.331368244112262,-8.72608000592951,-2.4733449377415653,-16.05832347376664,-8.811195228447936,2.1328933747758327,-4.679497159044992,-115.03664859524804
uracil,-24.853878961901444,-25.247796191380786,-1.6115382808873733,-165.19175068104408,5.379794844559271,2.31914631193159,0.43104678514120565,-136.8398149298106
urea,-32.5106294322927,-24.289313825134016,3.888758676433895,-117.08131459201574,-11.379926211250961,-9.828024159972372,-0.1425532599464674,-195.57517185945142
CO2,-95.9019088442055,-12.878055382366409,-104.1708823377855,4.000811651586918,-95.72887244047986,-13.81055564500124,-100.5666211379016,286.94614126231977
