N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),mol
2mer-0+2,-25.7370066,2,-25.7370066,-25.7370066,0.01548962,4.966,2.123,2.123,"Molecule(name='C2H4N4', formula='C2H4N4', hash='b02a2f2')"
2mer-0+1,-31.32615481,2,-31.32615481,-57.06316141,0.01363123,3.887,2.215,2.215,"Molecule(name='C2H4N4', formula='C2H4N4', hash='2b54126')"
2mer-0+3,-14.36282675,2,-14.36282675,-71.42598816,0.007481511,5.021,2.706,2.706,"Molecule(name='C2H4N4', formula='C2H4N4', hash='d9f429d')"
2mer-0+23,2.18439271,2,2.18439271,-69.24159546,0.006778146,5.651,2.796,2.796,"Molecule(name='C2H4N4', formula='C2H4N4', hash='0fac308')"
2mer-0+7,7.39239417,2,7.39239417,-61.84920128,0.006107412,3.631,2.895,2.895,"Molecule(name='C2H4N4', formula='C2H4N4', hash='189e891')"
2mer-0+14,-5.13883218,1,-2.56941609,-64.41861737,0.004963174,4.606,3.102,3.102,"Molecule(name='C2H4N4', formula='C2H4N4', hash='efec4dc')"
2mer-0+5,-19.87661349,2,-19.87661349,-84.29523086,0.004000954,3.478,3.333,3.333,"Molecule(name='C2H4N4', formula='C2H4N4', hash='9bd6c01')"
2mer-0+4,10.55909413,1,5.27954706,-79.0156838,0.003728561,5.653,3.413,3.413,"Molecule(name='C2H4N4', formula='C2H4N4', hash='4e8bc4f')"
2mer-0+47,4.37905867,1,2.18952933,-76.82615446,0.003232142,6.977,3.579,3.579,"Molecule(name='C2H4N4', formula='C2H4N4', hash='93f8e48')"
2mer-0+40,-1.91970186,1,-0.95985093,-77.78600539,0.00170911,6.447,4.426,4.426,"Molecule(name='C2H4N4', formula='C2H4N4', hash='409d44b')"
2mer-0+8,-2.42069508,2,-2.42069508,-80.20670048,0.001679397,6.456,4.452,4.452,"Molecule(name='C2H4N4', formula='C2H4N4', hash='76d0bd8')"
2mer-0+21,3.54446347,2,3.54446347,-76.66223701,0.0009520345,6.312,5.379,5.379,"Molecule(name='C2H4N4', formula='C2H4N4', hash='b8675fe')"
2mer-0+18,-4.10257135,2,-4.10257135,-80.76480836,0.0009394291,5.955,5.403,5.403,"Molecule(name='C2H4N4', formula='C2H4N4', hash='32483e9')"
2mer-0+12,-0.94977874,2,-0.94977874,-81.7145871,0.0009205589,6.533,5.44,5.44,"Molecule(name='C2H4N4', formula='C2H4N4', hash='5ea85e7')"
2mer-0+26,2.20784851,2,2.20784851,-79.50673859,0.0008837697,6.628,5.514,5.514,"Molecule(name='C2H4N4', formula='C2H4N4', hash='d8612c9')"
2mer-0+11,-1.1173978,2,-1.1173978,-80.62413639,0.0008487794,7.164,5.589,5.589,"Molecule(name='C2H4N4', formula='C2H4N4', hash='124a28a')"
2mer-0+13,3.12623297,2,3.12623297,-77.49790342,0.0008268097,7.691,5.638,5.638,"Molecule(name='C2H4N4', formula='C2H4N4', hash='7f609aa')"
2mer-0+19,-0.08158227,2,-0.08158227,-77.57948569,0.000819337,7.22,5.655,5.655,"Molecule(name='C2H4N4', formula='C2H4N4', hash='35d9a16')"
2mer-0+20,1.740842,1,0.870421,-76.70906469,0.0008068659,7.233,5.684,5.684,"Molecule(name='C2H4N4', formula='C2H4N4', hash='7c01661')"
